---------------------------------------------------------------------------------------------																			
引水流量	河道损失流量	支流入黄日均流量过程																	
----------------------	----------------------------------	----------------------------------																	
编号	年	月	日	时间	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	小花	花夹	夹高	高孙	孙艾	艾泺	泺利	
2	2013	6	20	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
3	2013	6	21	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
4	2013	6	22	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
5	2013	6	23	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
6	2013	6	24	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
7	2013	6	25	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
8	2013	6	26	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
9	2013	6	27	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
10	2013	6	28	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
11	2013	6	29	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
12	2013	6	30	24	-60	-100	-150	-150	-100	-100	-100	-10	-20	-20	-20	-10	-20	-20	0
13	2013	7	1	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
14	2013	7	2	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
15	2013	7	3	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
16	2013	7	4	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
17	2013	7	5	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
18	2013	7	6	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
19	2013	7	7	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
20	2013	7	8	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
21	2013	7	9	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0
22	2013	7	10	24	-20	-50	-70	-50	-20	-40	-40	-10	-20	-20	-20	-10	-20	-20	0




















1	1996	7	11	8	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	132
1	1996	7	11	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	132
2	1996	7	12	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	78.5
3	1996	7	13	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	94.08
4	1996	7	14	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	139.78
5	1996	7	15	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	69.91
6	1996	7	16	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	52.56
7	1996	7	17	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	82.97
8	1996	7	18	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	147.25
9	1996	7	19	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	96.6
10	1996	7	20	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	85.7
11	1996	7	21	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	87.8
12	1996	7	22	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	74.2
13	1996	7	23	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	63.7
14	1996	7	24	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	74.2
15	1996	7	25	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	70.9
16	1996	7	26	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	83.35
17	1996	7	27	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	168.8
18	1996	7	28	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	111.9
19	1996	7	29	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	99.7
20	1996	7	30	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	107.9
21	1996	7	31	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	131
22	1996	8	1	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	747
23	1996	8	2	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	502
24	1996	8	3	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	649
25	1996	8	4	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	2461
26	1996	8	5	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	2430
27	1996	8	6	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	2008
28	1996	8	7	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1228
29	1996	8	8	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1026
30	1996	8	9	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	829
31	1996	8	10	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1039
32	1996	8	11	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	719
33	1996	8	12	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	584
34	1996	8	13	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	553
35	1996	8	14	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	401
36	1996	8	15	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	321
37	1996	8	16	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	294
38	1996	8	17	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	257
39	1996	8	18	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	234
40	1996	8	19	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	232
41	1996	8	20	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	187.3
42	1996	8	21	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	166.7
43	1996	8	22	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	158.6
44	1996	8	23	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	176.5
45	1996	8	24	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	193.5
46	1996	8	25	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	153.7
47	1996	8	26	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	147.2
48	1996	8	27	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	146.1
49	1996	8	28	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	155.3
50	1996	8	29	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	162.3
51	1996	8	30	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	146.7
52	1996	8	31	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	130
53	1996	9	1	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	123.4
54	1996	9	2	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	126.2
55	1996	9	3	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	116.9
56	1996	9	4	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	118.5
57	1996	9	5	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	127.6
58	1996	9	6	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	166.8
59	1996	9	7	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	182.4
60	1996	9	8	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	153.5
61	1996	9	9	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	144.4
62	1996	9	10	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	140.9
63	1996	9	11	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	151.3
64	1996	9	12	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	149.7
65	1996	9	13	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	139.8
66	1996	9	14	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	134
67	1996	9	15	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	131.7
68	1996	9	16	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	130.9
69	1996	9	17	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	158.6
70	1996	9	18	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	345
71	1996	9	19	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	604
72	1996	9	20	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	516.7
73	1996	9	21	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	253.9
74	1996	9	22	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	215.7
75	1996	9	23	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	182.2
76	1996	9	24	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	164.2
77	1996	9	25	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	154.5
78	1996	9	26	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	151.9
79	1996	9	27	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	145.9
80	1996	9	28	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	142.8
81	1996	9	29	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	130.5
82	1996	9	30	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	127.3










1	1988	7	11	8	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	113
1	1988	7	11	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	113
2	1988	7	12	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	103.45
3	1988	7	13	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	103.6
4	1988	7	14	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	94.1
5	1988	7	15	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	84.1
6	1988	7	16	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	134.1
7	1988	7	17	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	165.6
8	1988	7	18	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	151.8
9	1988	7	19	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	152.5
10	1988	7	20	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	132.3
11	1988	7	21	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	311
12	1988	7	22	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	284
13	1988	7	23	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	239
14	1988	7	24	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	203.6
15	1988	7	25	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	229.6
16	1988	7	26	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	159.1
17	1988	7	27	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	121.5
18	1988	7	28	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	99.8
19	1988	7	29	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	88.5
20	1988	7	30	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	123.6
21	1988	7	31	24	0	-54.67	-53.04	-18.05	-0.12	-23.18	-21.39	0	-20	-20	-20	-10	-20	-20	425
22	1988	8	1	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	283
23	1988	8	2	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	340
24	1988	8	3	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	335
25	1988	8	4	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	339.5
26	1988	8	5	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	379.3
27	1988	8	6	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	395.9
28	1988	8	7	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	359
29	1988	8	8	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	313
30	1988	8	9	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	284
31	1988	8	10	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	571
32	1988	8	11	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1427
33	1988	8	12	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	899
34	1988	8	13	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	775
35	1988	8	14	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	840
36	1988	8	15	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	990
37	1988	8	16	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1743
38	1988	8	17	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1160
39	1988	8	18	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	753
40	1988	8	19	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	972
41	1988	8	20	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	1289
42	1988	8	21	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	970
43	1988	8	22	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	677
44	1988	8	23	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	507
45	1988	8	24	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	412
46	1988	8	25	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	359
47	1988	8	26	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	333
48	1988	8	27	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	325
49	1988	8	28	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	308
50	1988	8	29	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	283
51	1988	8	30	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	270
52	1988	8	31	24	0	-35.95	-32.99	-16.24	0	-7.07	-27.38	0	-20	-20	-20	-10	-20	-20	259
53	1988	9	1	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	251
54	1988	9	2	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	293
55	1988	9	3	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	317
56	1988	9	4	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	275
57	1988	9	5	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	239
58	1988	9	6	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	220
59	1988	9	7	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	210
60	1988	9	8	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	204.4
61	1988	9	9	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	234
62	1988	9	10	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	208.1
63	1988	9	11	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	183.7
64	1988	9	12	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	171.6
65	1988	9	13	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	161.2
66	1988	9	14	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	160.8
67	1988	9	15	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	167.8
68	1988	9	16	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	174.7
69	1988	9	17	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	161.5
70	1988	9	18	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	146.8
71	1988	9	19	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	139.4
72	1988	9	20	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	135.1
73	1988	9	21	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	131.9
74	1988	9	22	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	125.5
75	1988	9	23	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	117.3
76	1988	9	24	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	113
77	1988	9	25	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	112.2
78	1988	9	26	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	103.2
79	1988	9	27	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	93.1
80	1988	9	28	24	0	-36.62	-47.46	-22.08	-15.53	-41.38	-86.09	0	-20	-20	-20	-10	-20	-20	87.1
